scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-05T02:52:52.609205,Планшет Lenovo Tab M7 1/16GB LTE Platinum Grey (ZA570050UA),https://allo.ua/ua/products/internet-planshety/lenovo-tab-m7-1-16gb-lte-platinum-grey-za570050ua.html,631348,"Інтернет магазин,Планшети,Планшети Lenovo",False,2999,,allo,
2022-01-05T02:52:59.133383,Планшет Apple iPad New 2018 Wi-Fi 32Gb Space Grey (MR7F2),https://allo.ua/ua/products/internet-planshety/apple-ipad-new-2018-wi-fi-32gb-space-grey.html,364051,"Інтернет магазин,Планшети,Планшети Apple",False,,,Official Apple Dealer,
2022-01-05T02:53:05.578890,"Планшет Pixus Play Three v7"" 3G 4Gb White",https://allo.ua/ua/products/internet-planshety/pixus-play-three-7-3g-4gb-white.html,120149,"Інтернет магазин,Планшети,Планшети Pixus",False,,,allo,
2022-01-05T02:53:11.954126,Планшет Apple iPad Air Wi-Fi 16GB Silver (MD788),https://allo.ua/ua/products/internet-planshety/apple-ipad-air-wi-fi-16gb-silver-md788.html,101334,"Інтернет магазин,Планшети,Планшети Apple",False,,,Official Apple Dealer,
2022-01-05T02:53:18.329335,Планшет Apple iPad mini 4 Wi-Fi + 4G 16GB Gold (MK712),https://allo.ua/ua/products/internet-planshety/apple-ipad-mini-4-wi-fi-4g-16gb-gold-mk712.html,165953,"Інтернет магазин,Планшети,Планшети Apple",False,16499,,Official Apple Dealer,
2022-01-05T02:53:25.033421,Планшет Lenovo Tab M10 TB-X306F (2 Gen) HD 2/32 WiFi Platinum Grey (ZA6W0020UA),https://allo.ua/ua/products/internet-planshety/lenovo-tab-m10-hd-2-nd-gen-2-32-wifi-platinum-grey-za6w0020ua.html,726575,"Інтернет магазин,Планшети,Планшети Lenovo",False,4999,,allo,
2022-01-05T02:53:31.408149,"Планшет Impression ImPAD 6015 7"" 3G 8Gb Black",https://allo.ua/ua/products/internet-planshety/impression-impad-6015-7-3g-8gb-black.html,181986,"Інтернет магазин,Планшети,Планшети Impression",False,,,allo,
2022-01-05T02:53:37.807571,"Планшет Samsung Galaxy Tab 3 SM-T110 7"" 8Gb White",https://allo.ua/ua/products/internet-planshety/samsung-galaxy-tab-3-sm-t110-7-8gb-white.html,106271,"Інтернет магазин,Планшети,Планшети Samsung",False,,,allo,
2022-01-05T02:53:44.273270,Планшет Nomi C101044 Ultra4 LTE PRO 10” 16GB Темно-сiрий,https://allo.ua/ua/products/internet-planshety/nomi-c101044-ultra4-pro-10-lte-16gb.html,387914,"Інтернет магазин,Планшети,Планшети Nomi",False,,,allo,
2022-01-05T02:53:51.100979,Планшет Huawei MediaPad (AGS-L09B) T5 10” 32GB LTE Space Gray,https://allo.ua/ua/products/internet-planshety/huawei-mediapad-ags-l09b-t5-10-32gb-lte-space-gray.html,394603,"Інтернет магазин,Планшети,Планшети Huawei",False,,,allo,
